date,temp,feels_like,pressure,humidity,wind_speed,wind_deg,avg_rain,avg_snow,clouds_all,total_rain,total_snow,temp_min,temp_max,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Snow,weather_Thunderstorm,weather_broken clouds,weather_few clouds,weather_fog,weather_haze,weather_heavy intensity rain,weather_heavy snow,weather_light intensity drizzle,weather_light rain,weather_light rain and snow,weather_light snow,weather_mist,weather_moderate rain,weather_overcast clouds,weather_scattered clouds,weather_sky is clear,weather_snow,weather_thunderstorm,weather_thunderstorm with heavy rain,weather_thunderstorm with light rain,weather_thunderstorm with rain,weather_very heavy rain
2014-08-01,76.48541666666667,77.08166666666666,1019.5833333333334,68.25,6.435,157.16666666666666,0.25333333333333335,0.0,80.625,2.2800000000000002,0.0,71.11,74.93,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-08-02,72.08624999999999,72.54458333333334,1019.375,77.70833333333333,3.5845833333333332,71.95833333333333,0.9400000000000001,0.0,78.375,8.46,0.0,63.19,66.11,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2014-08-03,76.40541666666667,77.8175,1020.2916666666666,74.91666666666667,3.02125,70.5,0.18,0.0,80.0,0.9,0.0,67.86,70.83,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-08-04,77.49600000000001,78.4564,1018.8,67.48,4.736000000000001,189.2,0.9585714285714285,0.0,63.8,6.71,0.0,66.09,69.73,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
2014-08-05,81.14999999999999,81.64874999999999,1017.25,58.875,2.63375,92.5,0.0,0.0,39.083333333333336,0.0,0.0,67.19,73.13,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-08-06,77.53519999999999,78.4756,1014.2,65.0,7.320399999999999,202.4,1.7600000000000002,0.0,70.4,8.8,0.0,64.35,69.73,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
2014-08-07,78.63166666666667,78.7,1015.0833333333334,57.625,7.289583333333333,280.8333333333333,0.0,0.0,58.958333333333336,0.0,0.0,64.29,73.13,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-08-08,76.70333333333333,76.41958333333334,1018.9166666666666,51.625,5.324166666666667,142.08333333333334,0.0,0.0,50.208333333333336,0.0,0.0,60.69,69.73,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2014-08-09,77.21708333333333,78.04458333333334,1019.2083333333334,60.958333333333336,4.412916666666667,85.83333333333333,0.404,0.0,69.625,2.02,0.0,62.49,71.71,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
2014-08-10,78.915,79.56291666666667,1019.0,62.041666666666664,4.309583333333333,135.0,0.0,0.0,68.33333333333333,0.0,0.0,64.29,71.71,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-08-11,77.14083333333333,77.68124999999999,1019.0416666666666,60.583333333333336,6.614999999999999,135.41666666666666,0.18,0.0,70.0,0.18,0.0,60.69,69.73,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-08-12,74.35730769230769,75.17615384615384,1013.6153846153846,78.38461538461539,7.12423076923077,104.23076923076923,1.2774999999999999,0.0,88.84615384615384,25.549999999999997,0.0,69.69,73.13,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
2014-08-13,78.35791666666667,78.86125,1008.9583333333334,64.16666666666667,9.83125,250.41666666666666,0.0,0.0,64.375,0.0,0.0,71.49,73.69,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-08-14,74.68333333333332,73.93833333333333,1013.25,48.625,8.294166666666667,247.08333333333334,0.0,0.0,33.875,0.0,0.0,57.09,64.13,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-08-15,73.27416666666666,72.20458333333333,1015.2916666666666,41.791666666666664,7.1450000000000005,262.5,0.0,0.0,26.625,0.0,0.0,55.29,62.71,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-08-16,75.16541666666667,74.2375,1016.1666666666666,45.666666666666664,5.5633333333333335,147.08333333333334,0.0,0.0,57.083333333333336,0.0,0.0,57.09,65.93,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
